Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",89.675000,-75.000000,0.000000,top
"C2","10u","C_0402_1005Metric",91.500000,-75.000000,180.000000,top
"C3","1u","C_0402_1005Metric",93.600000,-73.000000,0.000000,top
"C4","0.1u","C_0402_1005Metric",102.870000,-71.150000,0.000000,top
"C5","10u","C_0402_1005Metric",102.870000,-72.150000,0.000000,top
"C6","2.2u","C_0402_1005Metric",94.830000,-68.650000,180.000000,top
"C7","100u","C_0402_1005Metric",94.830000,-67.150000,180.000000,top
"C8","10u","C_0402_1005Metric",103.370000,-67.000000,0.000000,top
"D1","MBR1020VL","D_SOD-123F",89.000000,-78.000000,-90.000000,top
"J1","USB_C_Receptacle_PowerOnly_24P","USB_C_Receptacle_Amphenol_124019772112A",82.675000,-76.950000,-90.000000,top
"J2","Conn_01x02_Pin","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",94.000000,-80.000000,0.000000,top
"J3","USB_B_Micro","USB_Mini-B_Lumberg_2486_01_Horizontal",99.800000,-62.500000,180.000000,top
"L1","6.8u","L_0805_2012Metric",97.850000,-76.150000,180.000000,top
"R1","18k","R_0603_1608Metric",83.500000,-66.175000,90.000000,top
"R2","1k","R_0603_1608Metric",86.500000,-66.175000,90.000000,top
"R3","10k","R_0603_1608Metric",94.500000,-71.500000,180.000000,top
"R4","5.1k","R_0603_1608Metric",86.500000,-69.350000,90.000000,top
"R5","5.1k","R_0603_1608Metric",83.500000,-69.350000,90.000000,top
"R6","1.87M","R_0603_1608Metric",102.850000,-74.475000,90.000000,top
"R7","340k","R_0603_1608Metric",102.850000,-77.825000,90.000000,top
"R8","1.87M","R_0603_1608Metric",98.350000,-68.650000,180.000000,top
"R9","200k","R_0603_1608Metric",101.525000,-68.650000,180.000000,top
"R10","10k","R_0603_1608Metric",90.500000,-70.500000,180.000000,top
"U1","BQ25185DLHR","WSON10_DLH_TEX",90.805300,-72.699900,180.000000,top
"U2","TPS61090","Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias",98.887500,-72.125000,0.000000,top
