"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"GND,5V OUT,BATT,LOAD,5V IN";"TestPoint_THTPad_D1.0mm_Drill0.5mm";5;"TestPoint";;;
2;"R5,R4";"R_0603_1608Metric";2;"5.1k";;;
3;"R1";"R_0603_1608Metric";1;"18k";;;
4;"R3,R10";"R_0603_1608Metric";2;"10k";;;
5;"C8,C2,C5";"C_0402_1005Metric";3;"10u";;;
6;"J1";"USB_C_Receptacle_Amphenol_124019772112A";1;"USB_C_Receptacle_PowerOnly_24P";;;
7;"C3,C1";"C_0402_1005Metric";2;"1u";;;
8;"C6";"C_0402_1005Metric";1;"2.2u";;;
9;"L1";"L_0805_2012Metric";1;"6.8u";;;
10;"R2";"R_0603_1608Metric";1;"1k";;;
11;"R9";"R_0603_1608Metric";1;"200k";;;
12;"R7";"R_0603_1608Metric";1;"340k";;;
13;"D1";"D_SOD-123F";1;"MBR1020VL";;;
14;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
15;"U2";"Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias";1;"TPS61090";;;
16;"U1";"WSON10_DLH_TEX";1;"BQ25185DLHR";;;
17;"C7";"C_0402_1005Metric";1;"100u";;;
18;"R8,R6";"R_0603_1608Metric";2;"1.87M";;;
19;"J3";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Micro";;;
20;"C4";"C_0402_1005Metric";1;"0.1u";;;
