Designator,Footprint,Quantity,Value,LCSC Part #
"5V IN, 5V OUT, BATT, GND, LOAD",TestPoint_THTPad_D1.0mm_Drill0.5mm,5,TestPoint,
"C1, C3",0402,2,1u,
"C2, C5, C8",0402,3,10u,
C4,0402,1,0.1u,
C6,0402,1,2.2u,
C7,0402,1,100u,
D1,D_SOD-123F,1,MBR1020VL,
J1,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_PowerOnly_24P,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
J3,USB_Mini-B_Lumberg_2486_01_Horizontal,1,USB_B_Micro,
L1,0805,1,6.8u,
R1,0603,1,18k,
"R10, R3",0603,2,10k,
R2,0603,1,1k,
"R4, R5",0603,2,5.1k,
"R6, R8",0603,2,1.87M,
R7,0603,1,340k,
R9,0603,1,200k,
U1,WSON10_DLH_TEX,1,BQ25185DLHR,
U2,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias,1,TPS61090,
