Designator,Mid X,Mid Y,Rotation,Layer
C1,89.675,-75.0,0.0,top
C2,91.5,-75.0,180.0,top
C3,93.6,-73.0,0.0,top
C4,102.87,-71.15,0.0,top
C5,102.87,-72.15,0.0,top
C6,94.83,-68.65,180.0,top
C7,94.83,-67.15,180.0,top
C8,103.37,-67.0,0.0,top
D1,89.0,-78.0,270.0,top
J1,82.675,-76.95,270.0,top
J2,95.25,-80.0,0.0,top
J3,99.8,-62.5,180.0,top
L1,97.85,-76.15,180.0,top
R1,83.5,-66.175,90.0,top
R10,90.5,-70.5,180.0,top
R2,86.5,-66.175,90.0,top
R3,94.5,-71.5,180.0,top
R4,86.5,-69.35,90.0,top
R5,83.5,-69.35,90.0,top
R6,102.85,-74.475,90.0,top
R7,102.85,-77.825,90.0,top
R8,98.35,-68.65,180.0,top
R9,101.525,-68.65,180.0,top
U1,90.8053,-72.6999,180.0,top
U2,98.8875,-72.125,0.0,top
